SCW_ID,SCW_VER,SCW_TYPE,RA_X,DEC_X,OBS_ID,OBS_TYPE,START_DATE,END_DATE,PI_NAME,PS,GOOD_SPI,GOOD_PICSIT,GOOD_ISGRI,GOOD_JEMX,GOOD_JEMX1,GOOD_JEMX2,GOOD_OMC,DSIZE,SEARCH_OFFSET_
250500230010,001,POINTING,325.161651611328,-14.7356948852539,19200130001,GENERAL,2022-05-21 17:42:11,2022-05-21 18:33:31,"DR.
THOMAS
SIEGERT",PRIVATE,2657,2634,2655,2657,2657,2657,0,123301888,"218.016 (323.1334173039183,-17.803807818107316)
"
250500240021,001,SLEW,324.034484863281,-12.8582496643066,19200130001,GENERAL,2022-05-21 18:37:08,2022-05-21 19:33:15,"DR.
THOMAS
SIEGERT",PRIVATE,3367,0,3365,3366,3366,3365,0,134492160,"301.276 (323.1334173039183,-17.803807818107316)
"
250500220021,001,SLEW,327.091949462891,-13.641583442688,19200130001,GENERAL,2022-05-21 16:45:47,2022-05-21 17:42:11,"DR.
THOMAS
SIEGERT",PRIVATE,3384,0,3370,3384,3382,3384,0,135278592,"338.536 (323.1334173039183,-17.803807818107316)
"
250500210021,001,SLEW,325.969543457031,-11.775860786438,19200130001,GENERAL,2022-05-21 15:42:49,2022-05-21 16:27:46,"DR.
THOMAS
SIEGERT",PRIVATE,2697,0,2397,2697,2697,2697,0,102223872,"397.303 (323.1334173039183,-17.803807818107316)
"
250500250010,001,POINTING,322.936218261719,-10.974027633667,19200130001,GENERAL,2022-05-21 19:33:15,2022-05-21 20:28:47,"DR.
THOMAS
SIEGERT",PRIVATE,3285,2997,3089,3285,3285,3285,0,131133440,"409.947 (323.1334173039183,-17.803807818107316)
"
250500200010,001,POINTING,324.846405029297,-9.89522266387939,19200130001,GENERAL,2022-05-21 14:44:40,2022-05-21 15:40:14,"DR.
THOMAS
SIEGERT",PRIVATE,3284,3258,3282,3284,3284,3284,0,135733248,"484.875 (323.1334173039183,-17.803807818107316)
"
250500290010,001,POINTING,319.933288574219,-10.1434164047241,19200130001,GENERAL,2022-05-21 23:24:02,2022-05-22 00:19:36,"DR.
THOMAS
SIEGERT",PRIVATE,3285,3257,3283,3285,3285,3285,0,134090752,"495.892 (323.1334173039183,-17.803807818107316)
"
250500260010,001,POINTING,321.859344482422,-9.08277797698975,19200130001,GENERAL,2022-05-21 20:31:00,2022-05-21 21:26:33,"DR.
THOMAS
SIEGERT",PRIVATE,3279,3258,3277,3279,3279,3279,0,133677056,"528.506 (323.1334173039183,-17.803807818107316)
"
250500190010,001,POINTING,323.760284423828,-8.01200008392334,19200130001,GENERAL,2022-05-21 13:46:47,2022-05-21 14:42:28,"DR.
THOMAS
SIEGERT",PRIVATE,3286,3266,3288,3290,3290,3290,0,136024064,"588.648 (323.1334173039183,-17.803807818107316)
"
250500280010,001,POINTING,318.86767578125,-8.24583339691162,19200130001,GENERAL,2022-05-21 22:26:33,2022-05-21 23:22:06,"DR.
THOMAS
SIEGERT",PRIVATE,3315,3289,3313,3276,3276,3276,0,134008832,"625.211 (323.1334173039183,-17.803807818107316)
"
250500270010,001,POINTING,320.782012939453,-7.19097232818604,19200130001,GENERAL,2022-05-21 21:28:46,2022-05-21 22:24:21,"DR.
THOMAS
SIEGERT",PRIVATE,3259,3258,3263,3262,3256,3262,0,133517312,"651.450 (323.1334173039183,-17.803807818107316)
"
