SCW_ID,SCW_VER,SCW_TYPE,RA_X,DEC_X,OBS_ID,OBS_TYPE,START_DATE,END_DATE,PI_NAME,PS,GOOD_SPI,GOOD_PICSIT,GOOD_ISGRI,GOOD_JEMX,GOOD_JEMX1,GOOD_JEMX2,GOOD_OMC,DSIZE,SEARCH_OFFSET_
250600520010,001,POINTING,323.220031738281,-15.8126392364502,19200130001,GENERAL,2022-05-25 02:24:11,2022-05-25 03:19:40,"DR.
THOMAS
SIEGERT",PRIVATE,3263,3240,3261,3263,3263,3263,0,135229440,"361.885 (329.48912879407703,-15.828737398607098)
"
250600510010,001,POINTING,322.113464355469,-13.9252500534058,19200130001,GENERAL,2022-05-25 01:26:38,2022-05-25 02:22:10,"DR.
THOMAS
SIEGERT",PRIVATE,3278,3257,3276,3278,3278,3278,0,135364608,"442.650 (329.48912879407703,-15.828737398607098)
"
250600530010,001,POINTING,321.265991210938,-16.8886394500732,19200130001,GENERAL,2022-05-25 03:21:35,2022-05-25 04:17:10,"DR.
THOMAS
SIEGERT",PRIVATE,3282,3257,3280,3282,3282,3282,0,135266304,"477.626 (329.48912879407703,-15.828737398607098)
"
250600540010,001,POINTING,320.155426025391,-14.9968614578247,19200130001,GENERAL,2022-05-25 04:19:25,2022-05-25 05:14:57,"DR.
THOMAS
SIEGERT",PRIVATE,3285,3257,3283,3285,3285,3285,0,135401472,"542.136 (329.48912879407703,-15.828737398607098)
"
250600500010,001,POINTING,321.009338378906,-12.0399723052979,19200130001,GENERAL,2022-05-25 00:26:59,2022-05-25 01:24:24,"DR.
THOMAS
SIEGERT",PRIVATE,3388,3361,3386,3383,3383,3383,0,139927552,"543.506 (329.48912879407703,-15.828737398607098)
"
250600630010,001,POINTING,319.440734863281,-17.0883331298828,19200130001,GENERAL,2022-05-25 12:57:21,2022-05-25 13:52:39,"DR.
THOMAS
SIEGERT",PRIVATE,3262,3240,3260,3257,3252,3257,0,134475776,"583.044 (329.48912879407703,-15.828737398607098)
"
250600620010,001,POINTING,319.287384033203,-17.954833984375,19200130001,GENERAL,2022-05-25 11:59:54,2022-05-25 12:55:28,"DR.
THOMAS
SIEGERT",PRIVATE,3291,3264,3289,3291,3291,3291,0,135499776,"599.321 (329.48912879407703,-15.828737398607098)
"
250600550010,001,POINTING,319.063720703125,-13.1008892059326,19200130001,GENERAL,2022-05-25 05:16:52,2022-05-25 06:12:27,"DR.
THOMAS
SIEGERT",PRIVATE,3286,3264,3284,3286,3286,3286,0,135569408,"627.303 (329.48912879407703,-15.828737398607098)
"
250600700010,001,POINTING,319.098785400391,-12.2460832595825,19200130001,GENERAL,2022-05-25 19:41:14,2022-05-25 20:40:12,"DR.
THOMAS
SIEGERT",PRIVATE,3518,1750,3518,1415,1407,1415,0,138792960,"641.712 (329.48912879407703,-15.828737398607098)
"
250600640010,001,POINTING,318.297698974609,-15.2168607711792,19200130001,GENERAL,2022-05-25 13:54:54,2022-05-25 14:50:26,"DR.
THOMAS
SIEGERT",PRIVATE,3285,3264,3283,3285,3285,3285,0,134950912,"647.956 (329.48912879407703,-15.828737398607098)
"
250600610010,001,POINTING,318.193634033203,-16.051082611084,19200130001,GENERAL,2022-05-25 11:02:23,2022-05-25 11:57:59,"DR.
THOMAS
SIEGERT",PRIVATE,3282,3256,3280,3247,3247,3247,0,135737344,"651.727 (329.48912879407703,-15.828737398607098)
"
250600600010,001,POINTING,317.105285644531,-14.14697265625,19200130001,GENERAL,2022-05-25 10:04:59,2022-05-25 11:00:28,"DR.
THOMAS
SIEGERT",PRIVATE,3279,3256,3277,3274,3274,3274,0,135356416,"724.687 (329.48912879407703,-15.828737398607098)
"
250600560010,001,POINTING,317.988372802734,-11.2009162902832,19200130001,GENERAL,2022-05-25 06:14:22,2022-05-25 07:09:56,"DR.
THOMAS
SIEGERT",PRIVATE,3287,3264,3285,3222,3222,3222,0,135413760,"725.870 (329.48912879407703,-15.828737398607098)
"
250600650010,001,POINTING,317.175170898438,-13.3379440307617,19200130001,GENERAL,2022-05-25 14:52:42,2022-05-25 15:48:11,"DR.
THOMAS
SIEGERT",PRIVATE,3277,3255,3275,3274,3274,3274,0,134660096,"730.333 (329.48912879407703,-15.828737398607098)
"
250600690010,001,POINTING,317.973327636719,-10.3742504119873,19200130001,GENERAL,2022-05-25 18:43:28,2022-05-25 19:38:59,"DR.
THOMAS
SIEGERT",PRIVATE,3285,3263,3283,3285,3285,3285,0,134582272,"748.002 (329.48912879407703,-15.828737398607098)
"
250600590010,001,POINTING,316.041076660156,-12.2398052215576,19200130001,GENERAL,2022-05-25 09:07:08,2022-05-25 10:02:42,"DR.
THOMAS
SIEGERT",PRIVATE,3270,3256,3272,3275,3275,3274,0,135065600,"811.627 (329.48912879407703,-15.828737398607098)
"
